,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,NormalPlayer,account.afe24b875fb046aeb6c312cf90cb8c2a,3.0,1.0,5.0,772.3189,alive,0.0,1.0,1.0,2.0,5.0,106.40291,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,1648.0581,4.0,1.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
1,zzangsu715,account.a893d23575814c34b45ab8567e89f065,0.0,0.0,0.0,0.0,byplayer,0.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,261.03986,2.0,22.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
2,seokgi5823,account.d1733f6461a747be9ae0cd3463b43f73,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,394.30722,3.0,21.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
3,taehan_banggu,account.75a12499c7f44fc8811c45470ae66252,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,7.7511406,1.0,32.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
4,Few-Few,account.2ba8889c2cc74a0da814eaba33c7d1f7,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,16.122734,1.0,31.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
5,leedo96,account.480986b979624325b4e9b05e961da0f5,0.0,0.0,0.0,50.760002,byplayer,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,7.4785028,1.0,30.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
6,BBangYa07,account.83aa491fd27647b7adb4a2300711aa44,0.0,0.0,6.0,99.41913,byplayer,0.0,4.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,635.0,0.0,1082.7091,3.0,10.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
7,yejin_banggu,account.2135da074d77473e86cf7f0c592b4b78,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,10.330149,1.0,32.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
8,raptor77,account.0831d1577c0a4fbd9c8d9565a43c3c25,1.0,1.0,0.0,196.0,byplayer,0.0,1.0,14.0,2.0,2.0,17.932795,0.0,0.0,0.0,0.0,0.0,254.0,0.0,189.42601,2.0,20.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
9,amns99,account.7bebceedfc9f41978959dc18ca834300,1.0,0.0,1.0,125.19999,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,0.0,536.1234,5.0,16.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
10,euno33,account.1f972319bc7c4e6d978fda813c29ed60,1.0,1.0,0.0,204.0,byplayer,1.0,0.0,15.0,1.0,2.0,3.5336764,0.0,0.0,0.0,0.0,0.0,221.0,0.0,93.45517,3.0,20.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
11,Alack-Horse,account.231cccd59a02477daa4a551bd294703f,1.0,0.0,8.0,334.37836,byplayer,0.0,4.0,8.0,1.0,2.0,52.613823,1.0,0.0,0.0,0.0,0.0,1066.0,0.0,1782.7297,6.0,3.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
12,Daxxxxx,account.ad6fb708d4574fcdafcdd9072d926b2b,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,188.28166,4.0,19.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
13,Panda_mz,account.639cc22fafe248779c0cf4cce4f25188,1.0,1.0,3.0,349.19757,byplayer,0.0,0.0,12.0,2.0,2.0,28.094124,0.0,0.0,0.0,0.0,0.0,415.0,0.0,450.72125,3.0,13.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
14,Storyghost,account.9efa5531b8f046f389bbcd6b3302bfe9,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,850.33276,8.0,7.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
15,XXX_Bo1,account.cc156f7c0b834a91b5a7f3eb905856a5,2.0,0.0,8.0,337.0,byplayer,0.0,2.0,9.0,1.0,2.0,34.12418,0.0,0.0,0.0,0.0,0.0,951.0,0.0,1431.9946,3.0,4.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
16,seung0425,account.f2f283429ab54bda8158c0f85721381a,1.0,0.0,1.0,163.67036,byplayer,0.0,0.0,25.0,1.0,1.0,3.4782138,0.0,0.0,0.0,0.0,0.0,397.0,0.0,876.39197,4.0,15.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
17,KimYChan,account.1388cd3fc8db4e9a969c77cad2e7bcff,2.0,1.0,3.0,297.775,byplayer,1.0,0.0,6.0,2.0,3.0,48.043232,1.0,0.0,0.0,0.0,0.0,417.0,0.0,979.95013,3.0,12.0,824cbfe1-754a-41cc-bd0b-ef91df625f62
