,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,ogamza-3-,account.166088a598f848a2813ed9460ed37f3a,1.0,0.0,0.0,100.0,byplayer,1.0,0.0,37.0,1.0,1.0,4.1413617,0.0,0.0,0.0,0.0,0.0,249.0,0.0,255.04185,3.0,36.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
1,djkdddeddddddddd,account.2fe68ced520642989a17f8759ffd9cd0,0.0,0.0,4.0,50.89245,byplayer,0.0,2.0,57.0,0.0,0.0,0.0,0.0,6142.9727,0.0,248.55571,0.0,1323.0,0.0,1293.0668,4.0,16.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
2,chb20002,account.2d113d05458a43a8a0bd2503ce86eb89,0.0,0.0,4.0,0.0,byplayer,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,7081.7114,7.0,26.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
3,Hermitt_,account.712bc7a18af44324abde085bbe3b8c08,1.0,1.0,8.0,163.35284,byplayer,0.0,4.0,27.0,1.0,1.0,20.349318,0.0,0.0,0.0,0.0,0.0,1396.0,0.0,1158.7426,8.0,15.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
4,BKsniper12,account.1e48fb86721f4e09af630697faf6c282,0.0,0.0,0.0,35.887722,byplayer,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,1232.5364,4.0,32.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
5,KaruRega,account.5ed326ab980743e0b551073d8dec284f,0.0,0.0,5.0,224.30263,byplayer,1.0,4.0,26.0,1.0,1.0,50.132957,1.0,3712.0178,0.0,233.30858,0.0,1398.0,0.0,2758.3474,3.0,14.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
6,KR_illillill,account.f5f92f78c73c406899261148783e7c5b,0.0,0.0,0.0,62.999996,byplayer,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,319.4294,3.0,36.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
7,DaeJeoN_No-1,account.266ad549ce224044b3d097e04e421cad,1.0,0.0,0.0,100.0,byplayer,0.0,0.0,42.0,1.0,1.0,1.2962567,0.0,0.0,0.0,0.0,0.0,135.0,0.0,27.364824,1.0,46.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
8,EMB_Psycho,account.998aaf645cf4433892c6602e5a06a0d0,3.0,1.0,10.0,540.82733,byplayer,0.0,2.0,3.0,1.0,6.0,240.91914,0.0,0.0,0.0,0.0,0.0,1802.0,0.0,1196.0275,8.0,2.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
9,rlawngus,account.291e3e6b1d1b48a1b05667bc9494f788,0.0,1.0,0.0,92.88,byplayer,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,43.96076,0.0,33.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
10,zwa22,account.24210a27db454b858f83c4a076c2c688,0.0,0.0,0.0,0.0,byzone,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,507.35565,0.0,46.0,c7dd13b7-2094-4ae6-a4b9-4eb2ff40e38b
