,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,PontiCzardav,ai.347,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,373.03122,0.0,43.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
1,Mr-Kwang,account.8ec3fa3baea349cfa8a7fb31451147c3,0.0,0.0,7.0,81.100105,byplayer,0.0,3.0,48.0,0.0,0.0,0.0,2.0,7569.643,0.0,70.14374,0.0,1528.0,0.0,2037.9497,4.0,9.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
2,IneedHealAndName,account.5f79ac55bb814a37b9a68d2b7e159966,0.0,0.0,0.0,98.04001,byplayer,0.0,2.0,63.0,0.0,0.0,0.0,0.0,3221.4478,0.0,0.0,0.0,985.0,0.0,1117.1855,6.0,25.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
3,BALENCIAGA_INHO,account.9e05f9ce11e247c6800d58109a913ec8,1.0,0.0,0.0,0.0,suicide,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,2.540988,0.0,48.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
4,CocoPalm811,account.34ad26709b1d46d1a4c78a9d6c7d957d,3.0,0.0,2.0,352.61273,byplayer,2.0,2.0,22.0,2.0,2.0,19.766832,0.0,2184.296,0.0,0.0,0.0,684.0,1.0,684.4857,5.0,30.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
5,curryudong-L,account.56828adbd9c54e48975f95254246dfff,1.0,0.0,0.0,88.09526,byplayer,0.0,0.0,85.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,334.0,0.0,374.03967,6.0,41.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
6,freeded,account.26aa677bedbe434a94bad8a8321e1849,0.0,0.0,0.0,23.36624,byplayer,0.0,0.0,39.0,1.0,1.0,98.33967,0.0,0.0,0.0,0.0,0.0,350.0,0.0,709.0086,3.0,40.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
7,Siri_BETA,account.626273f87bb64db0b1898f964303836c,1.0,0.0,0.0,147.0,byplayer,0.0,0.0,40.0,1.0,1.0,8.1453085,0.0,0.0,0.0,0.0,0.0,154.0,0.0,35.20421,3.0,47.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
8,minse0_0bin,account.24f97753883f4eb09ef61642f6f5059e,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1717.6271,0.0,0.0,0.0,438.0,0.0,957.402,4.0,34.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
9,BangGenie,account.eb18db4699b640c198ad1ff962954416,0.0,0.0,3.0,37.113747,byplayer,0.0,1.0,55.0,0.0,0.0,0.0,0.0,6100.0015,0.0,0.0,0.0,1313.0,0.0,1966.9319,10.0,16.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
10,MMGYeZi,account.4154feebf9da48aabfb89fa97a25cc1f,5.0,0.0,1.0,442.3083,byplayer,0.0,2.0,21.0,1.0,2.0,46.616627,0.0,1956.274,0.0,0.0,0.0,530.0,0.0,1120.3063,6.0,22.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
11,Spectacle-Life,account.60de0efbc35747748fb80fcd792bfa41,4.0,0.0,6.0,833.62994,byplayer,2.0,2.0,8.0,2.0,4.0,105.75182,0.0,2790.2454,0.0,0.0,0.0,1191.0,0.0,1758.8757,4.0,19.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
12,Optatup,account.65a8a1cd5eeb4f7e9edc68749f0c04f1,0.0,1.0,0.0,76.63376,byplayer,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,753.044,3.0,40.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
13,AZgam3r,account.52cfd78be1704694b046ed3f03166881,1.0,0.0,3.0,200.0,byplayer,0.0,5.0,17.0,2.0,2.0,25.742132,0.0,4647.0186,0.0,0.0,0.0,1206.0,0.0,2612.9404,4.0,12.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
14,WINT3RISCOMING,account.7080b45f55084bbba68aca79dfdf1b10,1.0,0.0,0.0,100.0,byplayer,0.0,0.0,37.0,1.0,1.0,19.116182,0.0,0.0,0.0,0.0,0.0,387.0,0.0,621.5994,7.0,35.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
15,gom5569,account.a733f77064534d309822c2aff59df0c3,0.0,0.0,0.0,25.380001,byplayer,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,56.90592,1.0,48.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
16,wkdgus03,account.52102986a502404e875e5c1ba1af9b54,0.0,0.0,0.0,0.0,byzone,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.0,0.0,322.21457,4.0,44.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
17,deeeadpooool,account.5933b2269ff04dec9b982782e5bb7797,1.0,0.0,1.0,165.19,byplayer,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,479.94876,7.0,32.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
18,Mejuni,account.3833af6bbb674aa1825f6c908887b8e3,0.0,0.0,3.0,39.539146,byplayer,0.0,0.0,68.0,0.0,0.0,0.0,1.0,4056.9077,0.0,0.0,0.0,881.0,0.0,1519.9915,4.0,27.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
19,QNQ-T,account.5795b3d541d542e2a4d9713193c81abf,0.0,0.0,5.0,0.0,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,0.0,4329.326,0.0,0.0,0.0,1214.0,0.0,1332.3342,10.0,3.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
20,dltkdals2,account.d14eef78cf2f4873a3e8450a0ae646bf,1.0,0.0,4.0,133.51988,byplayer,0.0,0.0,34.0,1.0,1.0,305.81732,0.0,0.0,0.0,0.0,0.0,672.0,0.0,145.55017,5.0,31.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
21,IMPERIALCO,account.8b914ac9217748fb95d1b8f003fd647a,2.0,1.0,3.0,233.27036,byplayer,0.0,1.0,47.0,0.0,0.0,0.0,0.0,6538.3013,0.0,0.0,0.0,1666.0,0.0,2244.031,7.0,5.0,31cd63f4-b5a7-4659-aca9-1686feec6e50
