,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,0ooYa,account.959247b26e3842de8d7b1fb1559dc5ec,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,149.85818,2.0,41.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
1,KingGuNyeong,account.d648905d119d4011955056cd835c28f3,1.0,0.0,0.0,100.0,byplayer,0.0,1.0,46.0,1.0,1.0,6.1814213,0.0,0.0,0.0,0.0,0.0,130.0,0.0,115.61184,1.0,50.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
2,Lava0527,account.589f5e1abc694ef58da97f6cda1ca825,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,329.8009,5.0,43.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
3,SM__Hwang,account.2aaa4e237aaa48f1b6c173bc7115ddc8,1.0,0.0,0.0,20.92462,suicide,0.0,0.0,67.0,0.0,0.0,0.0,0.0,3635.815,0.0,0.0,0.0,630.0,0.0,747.86383,9.0,29.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
4,leaderJ-_-,account.e7dd8671626342b7a3dd7eb13437f22e,0.0,0.0,0.0,0.0,byzone,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,51.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
5,AY_RIN,account.4217b2b157ba40848fa464272b965206,1.0,0.0,12.0,120.295,byzone,0.0,3.0,23.0,1.0,1.0,203.06694,0.0,9099.338,0.0,0.0,0.0,1847.0,0.0,1431.7411,11.0,2.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
6,NandaHwang,account.3b760824c5cf4d30bea9f6ddded1a270,1.0,0.0,0.0,152.16998,byplayer,0.0,1.0,42.0,1.0,1.0,1.6902039,0.0,1205.4741,0.0,0.0,0.0,356.0,0.0,334.61398,3.0,40.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
7,PaperGard,account.1caef9aa40e44f8897d3390d2904e8cf,2.0,0.0,4.0,370.25012,suicide,1.0,1.0,17.0,2.0,2.0,27.594439,0.0,0.0,0.0,0.0,0.0,842.0,0.0,1595.4517,7.0,23.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
8,Yin_Hwan,account.fa0f9e47484b48249e6a5992dde95055,1.0,1.0,0.0,162.28601,byplayer,0.0,0.0,36.0,1.0,1.0,20.104195,0.0,3036.084,0.0,0.0,0.0,836.0,0.0,2240.6472,6.0,25.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
9,dbrmsqja,account.f7edb85181904428ba316561e2420d2b,1.0,0.0,4.0,160.59308,byplayer,0.0,0.0,48.0,0.0,0.0,0.0,0.0,3800.9197,0.0,0.0,0.0,1571.0,0.0,1870.5033,7.0,6.0,3d8b0e99-2d97-46b1-8da1-8bf6b5fef5a3
