,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,DYMPD26,ai.348,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,882.1806,0.0,29.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
1,Irayan,account.e7a14f668e8945489a88c0e3199717e9,1.0,1.0,2.0,323.01807,byplayer,0.0,2.0,36.0,1.0,1.0,29.863398,1.0,0.0,0.0,0.0,0.0,406.0,0.0,442.46347,4.0,35.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
2,MAPlE-STORY--,account.f01f3c2f4ad6469ab1652f757695c907,3.0,1.0,6.0,532.87994,byplayer,2.0,1.0,5.0,2.0,5.0,189.8545,0.0,6704.143,0.0,0.0,0.0,1198.0,0.0,1304.4312,6.0,11.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
3,sungwoo-,account.6580dd6795734f37ab7319ca342ac974,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,124.33246,2.0,39.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
4,MMMMNMNNNMM,account.4d5954c1f62049aaa9dd9376fe13de00,2.0,0.0,3.0,171.95,byplayer,1.0,1.0,14.0,1.0,2.0,86.98675,0.0,387.19363,1.0,0.0,0.0,558.0,0.0,786.9151,4.0,27.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
5,BBANGBBANGMANDOO,account.438cef3f6e0747b2b8d702c312bc12f3,0.0,1.0,7.0,99.6,byplayer,0.0,3.0,47.0,0.0,0.0,0.0,0.0,3405.625,0.0,0.0,0.0,1310.0,0.0,2089.9026,6.0,8.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
6,SOLA_LINGO,account.fd126218fd264ff3a8b3ebc250ab4fcd,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,0.0,2038.2347,0.0,0.0,0.0,893.0,0.0,1070.796,4.0,21.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
7,o_Oseoiri,account.01627af5a01b40d682309dfe97f607c5,1.0,1.0,5.0,271.6,byplayer,1.0,3.0,24.0,1.0,1.0,30.438234,0.0,956.97876,0.0,0.0,0.0,1107.0,0.0,413.08093,13.0,9.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
8,ECCDA,account.7aff23e2052d48d0b076a8df2a8c66cc,1.0,0.0,0.0,176.79999,byplayer,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,223.25354,2.0,39.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
9,qaten123,account.eddd3171eb514005894a766b0386b1e4,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1722.4847,0.0,0.0,0.0,417.0,0.0,279.96548,5.0,33.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
10,gsd213213,account.13e403538ccf4004b33b2f9335a91396,3.0,0.0,11.0,618.2592,byzone,2.0,3.0,2.0,2.0,7.0,474.92065,0.0,882.38513,0.0,496.9141,0.0,1661.0,0.0,3283.7869,9.0,6.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
11,THE_X_S0NG,account.77f3c1cbbe55466ba5846b43d49c2bc4,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1989.3253,0.0,0.0,0.0,488.0,0.0,550.1127,4.0,31.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
12,SEXTWINS,account.2e59e5927b96451fa4da877d92d8209a,0.0,0.0,4.0,247.47012,byplayer,0.0,2.0,8.0,1.0,2.0,44.75361,1.0,8125.3423,0.0,44.687225,0.0,1818.0,0.0,2214.45,6.0,2.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
13,W_ono,account.ed535cebc6ca4a5aaa89269e01af41b7,1.0,0.0,0.0,134.398,byplayer,1.0,0.0,41.0,1.0,1.0,9.423618,0.0,0.0,0.0,0.0,0.0,177.0,0.0,54.817364,2.0,44.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
14,92mengyu,account.88ffb6a5524747d59fce43672c9b485f,0.0,0.0,6.0,79.0,byplayer,0.0,1.0,26.0,1.0,1.0,3.2621691,0.0,0.0,0.0,0.0,0.0,1039.0,0.0,301.92343,9.0,11.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
15,bab_im,account.22cd169d5add40ccb9b82f3fa09e3a13,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,67.0,0.0,0.0,0.0,0.0,3475.3613,0.0,0.0,0.0,540.0,0.0,481.78262,6.0,28.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
16,BUSANTITAN,account.56863b5a8293472f8aec9e285ad9da21,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,57.6866,3.0,48.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
17,caiyanyong,account.65e40757b2ef47aa89c56d36e32996e7,1.0,0.0,7.0,148.79309,byplayer,0.0,7.0,25.0,1.0,1.0,85.758446,0.0,9106.84,0.0,0.0,0.0,1216.0,1.0,2044.1691,6.0,10.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
18,sceniram,account.cb2b374b82954b8cae109db17dfc10e2,1.0,0.0,0.0,100.0,byplayer,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,153.0941,4.0,43.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
19,loocny1,account.19b557c45afc45f38b1d2d9b7cb13433,0.0,0.0,9.0,148.65782,byplayer,0.0,10.0,21.0,1.0,1.0,9.487099,0.0,13621.043,0.0,0.0,0.0,1767.0,0.0,1607.1456,8.0,4.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
20,KR_joungjea,account.f8214eadf09a44b09a95c05f635ea802,0.0,0.0,1.0,31.162663,byplayer,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,308.9501,4.0,36.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
21,ijs960906,account.4100a489d57a49e1b5c1952a7553b65e,0.0,0.0,6.0,67.635956,byplayer,0.0,1.0,58.0,0.0,0.0,0.0,0.0,1889.1714,0.0,0.0,0.0,1017.0,0.0,1769.9675,5.0,17.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
22,Ttudeom,account.dddcb914c1d148ab84a7e7d2aa4b151e,0.0,0.0,0.0,89.7,byplayer,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,309.15833,3.0,37.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
23,sun_a_ho_jae,account.50c08b709c194a93b4bcc46cbb5db2dc,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,0.0,4428.2217,0.0,121.85518,0.0,688.0,0.0,648.3259,6.0,24.0,91587e1b-da4a-4f1f-98fc-f72e330e8a96
