,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,YQQN_CHAN,account.61918798f7b342cc9d1ab310537e290f,1.0,0.0,0.0,123.95574,byplayer,0.0,0.0,27.0,1.0,1.0,64.66831,0.0,0.0,0.0,0.0,0.0,164.0,0.0,351.023,4.0,25.0,6000851a-8769-4ed5-8890-c1b710e25ee9
1,JU_NEK,account.a33729b846f543288127f2a48f5f143b,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,290.57394,2.0,25.0,6000851a-8769-4ed5-8890-c1b710e25ee9
2,ykshyksh,account.9eab987960d64341a38369cc6b5cddc6,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,108.29978,5.0,24.0,6000851a-8769-4ed5-8890-c1b710e25ee9
3,Dante0209,account.83a5643b8f6e43859353c88005e2b528,2.0,0.0,0.0,281.47247,byplayer,1.0,0.0,16.0,2.0,2.0,4.2841716,0.0,0.0,0.0,0.0,0.0,170.0,0.0,183.77121,2.0,24.0,6000851a-8769-4ed5-8890-c1b710e25ee9
4,leedo96,account.480986b979624325b4e9b05e961da0f5,1.0,0.0,0.0,132.9,byplayer,0.0,0.0,29.0,1.0,1.0,8.894782,0.0,0.0,0.0,0.0,0.0,100.0,0.0,52.1162,1.0,30.0,6000851a-8769-4ed5-8890-c1b710e25ee9
5,biwun,account.6f8dabd401ef4fea9f7e72ab0977f407,2.0,0.0,3.0,311.14502,byplayer,0.0,8.0,5.0,2.0,4.0,49.42501,0.0,0.0,0.0,0.0,0.0,708.0,0.0,1258.894,6.0,7.0,6000851a-8769-4ed5-8890-c1b710e25ee9
6,HorDorr,account.4b0708351cd646e799e4c182e81a63c1,1.0,0.0,6.0,218.03598,alive,1.0,1.0,10.0,1.0,2.0,56.744198,0.0,0.0,0.0,0.0,0.0,1185.0,0.0,1651.6625,4.0,1.0,6000851a-8769-4ed5-8890-c1b710e25ee9
7,nikemania__,account.c1793a38dad14abca8992ee7de81b7fa,0.0,0.0,0.0,89.07248,byplayer,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,205.55586,3.0,22.0,6000851a-8769-4ed5-8890-c1b710e25ee9
8,yejin_banggu,account.2135da074d77473e86cf7f0c592b4b78,0.0,0.0,0.0,138.79929,byplayer,0.0,0.0,28.0,1.0,1.0,11.747812,0.0,0.0,0.0,0.0,0.0,122.0,0.0,75.23475,1.0,27.0,6000851a-8769-4ed5-8890-c1b710e25ee9
9,god-mingq,account.37c2c7a46f234a18bf96eaa1535da625,0.0,0.0,8.0,29.609999,byplayer,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,0.0,1722.5363,3.0,4.0,6000851a-8769-4ed5-8890-c1b710e25ee9
