,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,Berynie,account.840d28236c3b4bd2aba9b1e2baa92ef0,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0251102,0.0,33.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
1,SoDongHo,account.62f96151029848aba2945c3810fbb705,0.0,1.0,0.0,0.0,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,230.42818,2.0,25.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
2,zzzary,account.e1ef05991202481c9f0431dbaff2fa20,1.0,1.0,1.0,241.95935,byplayer,1.0,1.0,13.0,2.0,2.0,94.0615,0.0,0.0,0.0,0.0,0.0,298.0,0.0,565.1834,4.0,21.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
3,alsehd,account.be46dd992c304b5da2b1dfafa1c7a37b,0.0,0.0,7.0,66.50616,byplayer,0.0,4.0,8.0,2.0,2.0,185.30516,1.0,0.0,0.0,0.0,0.0,790.0,0.0,1518.3884,5.0,10.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
4,laolang9,account.d4a51643d11548a8bfd092df2e9430f0,1.0,0.0,1.0,87.86258,byplayer,0.0,5.0,20.0,1.0,1.0,3.7862597,1.0,0.0,0.0,0.0,0.0,794.0,0.0,1564.3779,5.0,9.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
5,0ooYa,account.959247b26e3842de8d7b1fb1559dc5ec,1.0,0.0,0.0,228.5,byplayer,2.0,0.0,12.0,2.0,2.0,6.9424925,1.0,0.0,0.0,0.0,0.0,298.0,0.0,520.5862,3.0,21.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
6,WherockJu,ai.317,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,123.85913,0.0,30.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
7,bbanii,account.1a8d49a023d34c30a28a8571eca767fc,0.0,0.0,2.0,75.18532,byplayer,0.0,2.0,18.0,1.0,1.0,227.3676,1.0,0.0,0.0,0.0,0.0,890.0,0.0,1173.7568,4.0,6.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
8,ingku,account.6146c171afa04c7c9dd4077d40670d10,1.0,0.0,3.0,120.21828,byplayer,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,1524.8627,3.0,12.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
9,Killer_OX,account.ac6dbbdf697e43768618485e11d39004,2.0,0.0,0.0,0.0,suicide,0.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,409.0,0.0,326.83075,3.0,19.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
10,carrot_cara,account.2ee6c2c84ebf4c39afd4197d9917008b,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,682.6615,4.0,20.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
11,kyukyu1212,account.f86c4251db4747079370827f0fc6e997,1.0,1.0,2.0,312.63766,byplayer,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,713.12225,5.0,17.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
12,WPY_PDW,account.2d3a9f071bf84cc1a767f6aa1e6583ef,1.0,1.0,3.0,68.8,byplayer,0.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,1158.5624,2.0,7.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
13,affectionate_02,account.16abde5f16244cd599a30fb80787a6e2,0.0,1.0,3.0,79.2,alive,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,0.0,1987.904,4.0,1.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
14,KR_MOLAYONg,account.834637cccd9f46b0996a721fee9657fe,0.0,0.0,3.0,187.87328,byplayer,0.0,1.0,21.0,1.0,1.0,48.931416,0.0,0.0,0.0,0.0,0.0,620.0,0.0,1170.1425,3.0,14.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
15,Bushed_vic,account.b31834ac046e4f74ae625ebd34cd3e3c,1.0,0.0,0.0,152.39728,suicide,0.0,0.0,29.0,1.0,1.0,3.2864478,0.0,0.0,0.0,0.0,0.0,141.0,0.0,180.5456,3.0,27.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
16,GOLDMAN_-_,account.1ded0da5993e4ce69b7234c81a692610,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,33.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
17,Assassin100s,account.fbc22120ae734f32bba634988aea272d,0.0,1.0,2.0,88.079605,byplayer,0.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,0.0,1344.955,5.0,9.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
18,WNC_DIEND,account.e3f954d572fe447694c881907cdc52bb,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,0.0,1366.6733,2.0,5.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
19,youngka,account.80202f33b6b4412c9e2ec26ba90950be,0.0,0.0,2.0,51.6,byplayer,0.0,0.0,28.0,1.0,1.0,67.03561,0.0,0.0,0.0,0.0,0.0,205.0,0.0,412.2762,2.0,26.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
20,LG_gram,account.4b082a671de54c5eb5bfea4a1e03927d,1.0,0.0,2.0,63.026714,byplayer,0.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,432.7193,2.0,16.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
21,2HZ2423,account.84f7c243f8654226bc400a895c1799e5,2.0,0.0,3.0,283.76822,byplayer,0.0,1.0,19.0,1.0,1.0,31.650948,0.0,0.0,0.0,0.0,0.0,535.0,0.0,431.57883,6.0,8.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
22,sfac0414,account.bb6377915911469192dd696fac41e00e,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,14.150403,1.0,32.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
23,biob1121,account.0ff316d0d071446fb016ad63f70fe4db,1.0,0.0,0.0,134.0,byplayer,0.0,6.0,25.0,1.0,1.0,7.0280256,0.0,0.0,0.0,0.0,0.0,389.0,0.0,819.4029,3.0,20.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
24,dungdongdong,account.084285557fe845bdaf94a832d6ffeaac,0.0,0.0,9.0,135.0,byplayer,1.0,5.0,5.0,1.0,2.0,24.587784,0.0,0.0,0.0,0.0,0.0,991.0,0.0,1918.0101,4.0,3.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
25,Professional__,account.a6636dd9979f4c4981f7156e80fec5ff,1.0,1.0,0.0,100.0,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,101.50447,4.0,26.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
26,MSB2017,account.7fcf323e0292482bab1a216cba707ed5,1.0,0.0,0.0,168.58798,byplayer,0.0,0.0,27.0,1.0,1.0,30.76353,0.0,0.0,0.0,0.0,0.0,208.0,0.0,122.36681,3.0,25.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
27,JUKONG,account.74878916de50435ca1eff38d456f9b89,0.0,0.0,3.0,42.788437,byplayer,0.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,0.0,764.175,5.0,6.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
28,killer_sen-ho,account.6111bf8863914010a25b490c3ad3d3af,0.0,0.0,0.0,100.0,byplayer,0.0,1.0,24.0,1.0,1.0,0.80255425,0.0,0.0,0.0,0.0,0.0,407.0,0.0,502.02368,4.0,19.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
29,GanzangzoLim,account.96c4ab30245e411ab07c2f4b1e468e6d,2.0,0.0,7.0,252.7276,byplayer,0.0,0.0,6.0,1.0,2.0,168.44426,0.0,0.0,0.0,0.0,0.0,989.0,0.0,1527.3015,4.0,4.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
30,min0127,account.67a818fb23bd49128bad33c17e1a5386,5.0,1.0,6.0,882.1718,byplayer,2.0,1.0,2.0,2.0,6.0,121.196144,2.0,0.0,0.0,0.0,0.0,1039.0,0.0,2006.1086,4.0,3.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
31,leedo96,account.480986b979624325b4e9b05e961da0f5,1.0,0.0,0.0,178.0,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,16.117172,1.0,33.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
32,CRO_babdodug,account.dd4d750457d24bf99f7bfea0df3b5ca4,1.0,1.0,5.0,207.40984,byplayer,0.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,1077.729,3.0,13.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
33,Rlaehdbs0_,account.44765703e47c4af5af132b90e88d78e0,1.0,0.0,3.0,100.0,byplayer,0.0,0.0,17.0,1.0,1.0,13.402709,0.0,0.0,0.0,0.0,0.0,921.0,0.0,1200.7812,7.0,5.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
34,HYO_GEAN,account.3ede323b67964291b1a3c3379dd3754a,0.0,0.0,2.0,79.525055,byplayer,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,355.65866,2.0,24.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
35,Zhouyu----,account.4bd163f5d6e947f6b56b161b0c15eb7f,0.0,0.0,0.0,0.0,byzone,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,66.65053,1.0,26.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
36,seung0425,account.f2f283429ab54bda8158c0f85721381a,1.0,0.0,2.0,147.57352,byplayer,0.0,1.0,14.0,2.0,2.0,37.101597,0.0,0.0,0.0,0.0,0.0,262.0,0.0,309.84973,3.0,22.0,0aae7fd8-6b76-4cbf-82ba-1743a62ae73e
