,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,NewMetaaaa,account.968660c2efe048b38f1198bc98190480,0.0,0.0,0.0,34.771454,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,158.6674,4.0,22.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
1,AN_ji_sung,account.25bed67afbf44b52bb65a72c45506685,1.0,0.0,1.0,135.27,byplayer,1.0,0.0,13.0,2.0,2.0,6.490997,0.0,0.0,0.0,0.0,0.0,304.0,0.0,645.7767,5.0,18.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
2,yvvvmiyutaq,ai.314,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,146.59755,0.0,24.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
3,TikTok153,account.8cb6ae7c28ff4eb1a8b1543221c8c372,0.0,0.0,0.0,128.72166,byplayer,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,1072.4508,3.0,14.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
4,SWAT89,account.72cd6f7a60c34854bce9475962645b2f,1.0,0.0,0.0,245.59113,byplayer,1.0,1.0,14.0,1.0,2.0,16.072794,2.0,0.0,0.0,0.0,0.0,295.0,0.0,259.87228,2.0,19.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
5,baechudosa32,account.0befd5d92d8e496e85e2feec2aa914ce,0.0,0.0,5.0,178.9479,byplayer,0.0,4.0,18.0,1.0,1.0,195.67148,0.0,0.0,0.0,0.0,0.0,835.0,0.0,979.01776,4.0,4.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
6,KKo-gi,account.a2d66aec76b84be78565b48e013d5eec,1.0,0.0,5.0,538.02203,byplayer,0.0,2.0,5.0,1.0,3.0,143.60635,0.0,0.0,0.0,0.0,0.0,870.0,0.0,1770.9503,2.0,5.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
7,NINGSTONH,ai.316,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,70.842316,0.0,30.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
8,ZUMMAZZING,account.cf91055bbe9f4feeab4364a594ee719f,1.0,0.0,2.0,232.2748,byplayer,0.0,0.0,7.0,1.0,3.0,30.500084,0.0,0.0,0.0,0.0,0.0,547.0,0.0,762.11206,6.0,9.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
9,oliver9232,account.ae8e5d5892124045b9e4fac6756fa546,1.0,0.0,1.0,77.0,byplayer,1.0,0.0,23.0,1.0,1.0,26.979486,0.0,0.0,0.0,0.0,0.0,456.0,0.0,773.4946,6.0,13.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
10,juno_jn,account.f524939b00974ad18ecf48f5c00f5e3c,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,85.30782,4.0,27.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
11,Malowe,account.da31521673454d43aa9aec68a0479537,0.0,1.0,2.0,96.590004,byplayer,0.0,3.0,22.0,1.0,1.0,19.03671,0.0,0.0,0.0,0.0,0.0,567.0,0.0,1102.8829,10.0,8.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
12,TAWON,account.52b7212afa5f4a98b313abea8ec1e2eb,0.0,1.0,0.0,74.729996,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,25.472645,2.0,18.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
13,ingku,account.6146c171afa04c7c9dd4077d40670d10,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,88.10394,2.0,26.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
14,dodododohyun,account.ff0101546edc44c3b355fe74e01c3b50,0.0,1.0,0.0,34.3,byplayer,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,129.20981,4.0,15.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
15,yourarirarira,account.27c9e109e949440983bca773d860b7a1,1.0,2.0,4.0,209.3818,byplayer,0.0,4.0,20.0,1.0,1.0,7.1095366,1.0,0.0,0.0,0.0,0.0,677.0,0.0,1219.2063,5.0,6.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
16,Berynie,account.840d28236c3b4bd2aba9b1e2baa92ef0,1.0,0.0,0.0,100.0,byplayer,0.0,1.0,27.0,1.0,1.0,6.8924785,0.0,0.0,0.0,0.0,0.0,168.0,0.0,98.789085,2.0,25.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
17,INEEDU423,account.904f619479744b4f9ecaf00d9dcbb34d,0.0,0.0,3.0,14.149998,byplayer,0.0,11.0,21.0,1.0,1.0,31.327887,0.0,0.0,0.0,0.0,0.0,600.0,0.0,1176.3862,4.0,8.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
18,Jensbmx_2_02,ai.315,0.0,0.0,0.0,50.41132,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,380.66156,0.0,24.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
19,godaman12,account.a9555a35512f42dda8d0bdf4fdc31773,0.0,0.0,0.0,37.199997,byplayer,0.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,45.043217,2.0,31.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
20,BrotherGyuTH,account.340d3f008f2b4c62bf8d4f59545cd598,1.0,0.0,3.0,268.6446,byplayer,1.0,2.0,11.0,2.0,2.0,27.991638,0.0,0.0,0.0,0.0,0.0,420.0,0.0,424.1424,4.0,15.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
21,br_duri,account.350bba77a021402a9cbbcde9ac51a050,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,28.0,89c726a4-7cb4-495c-9351-8f1befe0d8ca
