,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
23,YECUD,account.8246582a51b841c69cd44a9d73ea4b5f,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,102.86283,0.0,28.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
24,qkdxksSOL,account.1757b016835b4c0babb77dab0749e260,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,64.85366,1.0,27.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
25,Im-pervert,account.1e73540ef30a4a4291b4e13fcc791b90,1.0,2.0,5.0,263.1525,byzone,0.0,4.0,11.0,1.0,2.0,45.14415,0.0,0.0,0.0,0.0,0.0,769.0,0.0,1478.067,6.0,10.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
26,9166signalman,account.bacb8c24fb774909877468bb76fd9edd,4.0,0.0,9.0,820.31744,alive,0.0,7.0,1.0,2.0,8.0,185.42772,0.0,0.0,0.0,0.0,0.0,1184.0,0.0,2040.2416,4.0,1.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
27,jaehomaster,account.1e4d4579333a47eb97cbfd2f11c46938,1.0,0.0,5.0,176.06929,byplayer,0.0,1.0,16.0,1.0,1.0,96.78275,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,1905.3821,3.0,4.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
28,Feb1oth,account.680fdb6111624967a71b94796f46f3f9,3.0,0.0,3.0,302.78198,byplayer,0.0,1.0,4.0,1.0,4.0,171.04797,1.0,0.0,0.0,0.0,0.0,915.0,0.0,2087.3364,5.0,6.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
29,jyjy0_401,ai.314,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,146.22256,0.0,31.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
30,GUNKICHI,account.3d3f0b63c0184cd89fc4cc2793595733,1.0,0.0,1.0,122.68,byplayer,1.0,1.0,23.0,1.0,1.0,54.179497,0.0,0.0,0.0,0.0,0.0,462.0,0.0,583.1976,2.0,17.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
31,haminjoond,account.fde2a521f4664ce3a6a384efb0489154,0.0,0.0,6.0,94.095,byplayer,0.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.0,0.0,1948.0437,3.0,2.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
32,POCHA_JIN,account.47709a94c36f4f9b9cc97208bb90e996,0.0,0.0,4.0,100.0,byplayer,0.0,1.0,20.0,1.0,1.0,12.231489,0.0,0.0,0.0,0.0,0.0,758.0,0.0,1577.6672,3.0,12.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
33,DM-MINO,account.01b726427f1747beabed1aa66aa6afb3,0.0,2.0,6.0,345.53775,byplayer,0.0,8.0,8.0,1.0,2.0,73.5273,1.0,0.0,0.0,0.0,0.0,1118.0,0.0,1643.371,2.0,3.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
