,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,kingwoobin-M16,account.c903b526c03741bc86c36c05e4dea399,0.0,0.0,1.0,58.8118,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,0.0,793.3018,0.0,0.0,0.0,824.0,0.0,2399.9436,7.0,24.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
1,Um_Jae,account.9e32df35279540f3987a0c1cee067a99,0.0,1.0,2.0,38.74969,byplayer,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,4570.5293,6.0,10.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
2,yang_pa,account.d472345849c3407bae8f645e13000805,1.0,0.0,4.0,316.22488,byplayer,0.0,1.0,11.0,1.0,3.0,217.73824,1.0,307.5419,0.0,0.0,0.0,1440.0,0.0,1194.0375,6.0,12.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
3,ol76,account.709601d5e62b4f1389b5763f0c80d2ea,0.0,0.0,0.0,66.420006,byplayer,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,39.956505,3.0,43.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
4,SF1988,account.ebacf6d83d6a45ae9aeb7d39b662fd73,1.0,0.0,7.0,136.42522,byplayer,0.0,4.0,49.0,0.0,0.0,0.0,0.0,319.27542,0.0,0.0,0.0,1541.0,0.0,1926.2482,5.0,8.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
5,EMONDA-SL7,account.f61d91185be74998a01f98e354c4cfb7,0.0,0.0,2.0,100.000015,byplayer,0.0,1.0,34.0,1.0,1.0,0.81827414,0.0,486.76535,0.0,0.0,0.0,824.0,0.0,2686.7263,4.0,24.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
6,ColdplayerJaein,account.6083a715c600484a939149edaddb7ec8,2.0,1.0,2.0,256.99878,byplayer,1.0,2.0,18.0,1.0,2.0,204.6021,0.0,5845.2104,0.0,0.0,0.0,740.0,0.0,659.35065,5.0,25.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
7,TSM_Peanut,account.d6e2ae5f44964b57ac676e6dfedea32d,0.0,0.0,5.0,404.841,byplayer,0.0,1.0,12.0,1.0,3.0,29.381357,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,53.921017,11.0,16.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
8,JHyipilan_g,ai.348,0.0,0.0,0.0,72.0,byplayer,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,91.50217,0.0,47.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
9,AFTV_GOminjoong,account.089c3826550646f8a44595a57dd8db14,1.0,0.0,3.0,190.3366,byplayer,0.0,0.0,25.0,1.0,1.0,234.9914,0.0,4924.285,0.0,0.0,0.0,913.0,0.0,64637.14,8.0,7.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
10,Callsign42-1,account.498d5f4726194ac1be2798af42c93a29,0.0,0.0,0.0,63.6,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,4.6073003,6.0,18.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
11,JAElYOUNG,account.2267c611430e49f3a427890ae695bf4a,0.0,0.0,1.0,0.0,suicide,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1587.7368,0.0,0.0,0.0,337.0,0.0,229.22571,6.0,38.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
12,kwanjin-_-,account.569538c4bd59421fad02165aae2a8bf9,0.0,0.0,1.0,0.0,byplayer,0.0,1.0,86.0,0.0,0.0,0.0,0.0,181.2909,0.0,0.0,0.0,210.0,0.0,262.04218,2.0,42.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
13,Jung75,account.91e771db81614fb28eb755fa22afbf23,1.0,0.0,1.0,341.96957,byplayer,0.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,916.8562,4.0,34.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
14,bnu6564,account.95bc98a7b01d4d968c14a2339059502e,0.0,0.0,0.0,73.8,byplayer,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,201.1625,4.0,41.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
15,Rudistello,account.9437ddb1109f49248c0d160caa19dcc4,1.0,0.0,0.0,85.39658,byplayer,0.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,366.12973,7.0,39.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
16,Kim_SaNhoK,account.0f1db0006cd04a3791db647cf676c19f,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,103.14895,2.0,43.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
17,Yeon2_22,account.8b9fe9f5e56748c6b07239a8a465b700,0.0,0.0,6.0,129.99931,byplayer,0.0,8.0,23.0,1.0,1.0,21.884981,1.0,1764.1104,0.0,0.0,0.0,1497.0,0.0,619.9308,14.0,6.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
18,Asan-KooSungRi,account.ebb4d6f6e0c24abe804e6b2729181c9f,1.0,1.0,1.0,172.96883,byplayer,0.0,5.0,38.0,1.0,1.0,4.790999,0.0,157.47678,0.0,61.98334,0.0,444.0,0.0,762.3287,4.0,35.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
19,JinRyeon,account.43ce0575b9e54b18bb299c8e20001996,0.0,0.0,5.0,68.22874,byplayer,0.0,0.0,26.0,1.0,1.0,8.077602,0.0,354.0162,0.0,0.0,0.0,1512.0,0.0,1350.1,5.0,8.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
20,sagami-val,account.3f06e5c0f272405b9169c9c669f1ef56,2.0,1.0,6.0,150.57024,alive,0.0,4.0,21.0,1.0,1.0,14.591709,0.0,7889.97,0.0,0.0,0.0,1792.0,0.0,2262.1577,5.0,1.0,1055d4c3-25cd-484e-a0db-7c20f6295f4f
